An,Ag,As,q
1.778397839784e-02,4.679612600919e-03,6.024294161797e-02,1.287348905893e+01
1.788388838884e-02,4.705902559351e-03,6.041201890615e-02,1.283749889511e+01
1.798379837984e-02,4.732192517783e-03,6.058066461941e-02,1.280181742221e+01
1.808370837084e-02,4.758482476215e-03,6.074888278500e-02,1.276644037015e+01
1.818361836184e-02,4.784772434647e-03,6.091667737197e-02,1.273136355051e+01
1.828352835284e-02,4.811062393079e-03,6.108405229226e-02,1.269658285458e+01
1.838343834383e-02,4.837352351511e-03,6.125101140190e-02,1.266209425136e+01
1.848334833483e-02,4.863642309944e-03,6.141755850201e-02,1.262789378578e+01
1.858325832583e-02,4.889932268376e-03,6.158369733995e-02,1.259397757679e+01
1.868316831683e-02,4.916222226808e-03,6.174943161030e-02,1.256034181563e+01
1.878307830783e-02,4.942512185240e-03,6.191476495588e-02,1.252698276411e+01
1.888298829883e-02,4.968802143672e-03,6.207970096878e-02,1.249389675293e+01
1.898289828983e-02,4.995092102104e-03,6.224424319126e-02,1.246108018009e+01
1.908280828083e-02,5.021382060536e-03,6.240839511675e-02,1.242852950928e+01
1.918271827183e-02,5.047672018968e-03,6.257216019072e-02,1.239624126837e+01
1.928262826283e-02,5.073961977401e-03,6.273554181162e-02,1.236421204791e+01
1.938253825383e-02,5.100251935833e-03,6.289854333171e-02,1.233243849971e+01
1.948244824482e-02,5.126541894265e-03,6.306116805796e-02,1.230091733543e+01
1.958235823582e-02,5.152831852697e-03,6.322341925285e-02,1.226964532517e+01
1.968226822682e-02,5.179121811129e-03,6.338530013521e-02,1.223861929623e+01
1.978217821782e-02,5.205411769561e-03,6.354681388099e-02,1.220783613173e+01
1.988208820882e-02,5.231701727993e-03,6.370796362406e-02,1.217729276942e+01
1.998199819982e-02,5.257991686425e-03,6.386875245697e-02,1.214698620043e+01
2.008190819082e-02,5.284281644858e-03,6.402918343168e-02,1.211691346808e+01
2.018181818182e-02,5.310571603290e-03,6.418925956028e-02,1.208707166673e+01
2.028172817282e-02,5.336861561722e-03,6.434898381573e-02,1.205745794069e+01
2.038163816382e-02,5.363151520154e-03,6.450835913252e-02,1.202806948305e+01
2.048154815482e-02,5.389441478586e-03,6.466738840736e-02,1.199890353468e+01
2.058145814581e-02,5.415731437018e-03,6.482607449985e-02,1.196995738318e+01
2.068136813681e-02,5.442021395450e-03,6.498442023313e-02,1.194122836185e+01
2.078127812781e-02,5.468311353882e-03,6.514242839449e-02,1.191271384872e+01
2.088118811881e-02,5.494601312315e-03,6.530010173603e-02,1.188441126560e+01
2.098109810981e-02,5.520891270747e-03,6.545744297520e-02,1.185631807713e+01
2.108100810081e-02,5.547181229179e-03,6.561445479548e-02,1.182843178989e+01
2.118091809181e-02,5.573471187611e-03,6.577113984688e-02,1.180074995150e+01
2.128082808281e-02,5.599761146043e-03,6.592750074658e-02,1.177327014977e+01
2.138073807381e-02,5.626051104475e-03,6.608354007940e-02,1.174599001186e+01
2.148064806481e-02,5.652341062907e-03,6.623926039844e-02,1.171890720345e+01
2.158055805581e-02,5.678631021339e-03,6.639466422552e-02,1.169201942793e+01
2.168046804680e-02,5.704920979772e-03,6.654975405178e-02,1.166532442566e+01
2.178037803780e-02,5.731210938204e-03,6.670453233813e-02,1.163881997319e+01
2.188028802880e-02,5.757500896636e-03,6.685900151578e-02,1.161250388252e+01
2.198019801980e-02,5.783790855068e-03,6.701316398672e-02,1.158637400037e+01
2.208010801080e-02,5.810080813500e-03,6.716702212421e-02,1.156042820749e+01
2.218001800180e-02,5.836370771932e-03,6.732057827322e-02,1.153466441799e+01
2.227992799280e-02,5.862660730364e-03,6.747383475092e-02,1.150908057863e+01
2.237983798380e-02,5.888950688796e-03,6.762679384711e-02,1.148367466818e+01
2.247974797480e-02,5.915240647229e-03,6.777945782467e-02,1.145844469682e+01
2.257965796580e-02,5.941530605661e-03,6.793182891998e-02,1.143338870547e+01
2.267956795680e-02,5.967820564093e-03,6.808390934337e-02,1.140850476521e+01
2.277947794779e-02,5.994110522525e-03,6.823570127947e-02,1.138379097667e+01
2.287938793879e-02,6.020400480957e-03,6.838720688772e-02,1.135924546947e+01
2.297929792979e-02,6.046690439389e-03,6.853842830266e-02,1.133486640166e+01
2.307920792079e-02,6.072980397821e-03,6.868936763438e-02,1.131065195913e+01
2.317911791179e-02,6.099270356254e-03,6.884002696890e-02,1.128660035513e+01
2.327902790279e-02,6.125560314686e-03,6.899040836852e-02,1.126270982968e+01
2.337893789379e-02,6.151850273118e-03,6.914051387219e-02,1.123897864913e+01
2.347884788479e-02,6.178140231550e-03,6.929034549592e-02,1.121540510558e+01
2.357875787579e-02,6.204430189982e-03,6.943990523304e-02,1.119198751646e+01
2.367866786679e-02,6.230720148414e-03,6.958919505463e-02,1.116872422401e+01
2.377857785779e-02,6.257010106846e-03,6.973821690983e-02,1.114561359483e+01
2.387848784878e-02,6.283300065278e-03,6.988697272614e-02,1.112265401940e+01
2.397839783978e-02,6.309590023711e-03,7.003546440982e-02,1.109984391167e+01
2.407830783078e-02,6.335879982143e-03,7.018369384612e-02,1.107718170861e+01
2.417821782178e-02,6.362169940575e-03,7.033166289968e-02,1.105466586976e+01
2.427812781278e-02,6.388459899007e-03,7.047937341477e-02,1.103229487685e+01
2.437803780378e-02,6.414749857439e-03,7.062682721564e-02,1.101006723337e+01
2.447794779478e-02,6.441039815871e-03,7.077402610678e-02,1.098798146417e+01
2.457785778578e-02,6.467329774303e-03,7.092097187324e-02,1.096603611509e+01
2.467776777678e-02,6.493619732735e-03,7.106766628089e-02,1.094422975257e+01
2.477767776778e-02,6.519909691168e-03,7.121411107674e-02,1.092256096326e+01
2.487758775878e-02,6.546199649600e-03,7.136030798916e-02,1.090102835368e+01
2.497749774977e-02,6.572489608032e-03,7.150625872819e-02,1.087963054986e+01
2.507740774077e-02,6.598779566464e-03,7.165196498580e-02,1.085836619698e+01
2.517731773177e-02,6.625069524896e-03,7.179742843613e-02,1.083723395903e+01
2.527722772277e-02,6.651359483328e-03,7.194265073577e-02,1.081623251849e+01
2.537713771377e-02,6.677649441760e-03,7.208763352400e-02,1.079536057601e+01
2.547704770477e-02,6.703939400192e-03,7.223237842302e-02,1.077461685005e+01
2.557695769577e-02,6.730229358625e-03,7.237688703823e-02,1.075400007661e+01
2.567686768677e-02,6.756519317057e-03,7.252116095844e-02,1.073350900890e+01
2.577677767777e-02,6.782809275489e-03,7.266520175609e-02,1.071314241706e+01
2.587668766877e-02,6.809099233921e-03,7.280901098752e-02,1.069289908786e+01
2.597659765977e-02,6.835389192353e-03,7.295259019318e-02,1.067277782438e+01
2.607650765077e-02,6.861679150785e-03,7.309594089780e-02,1.065277744580e+01
2.617641764176e-02,6.887969109217e-03,7.323906461071e-02,1.063289678705e+01
2.627632763276e-02,6.914259067649e-03,7.338196282594e-02,1.061313469859e+01
2.637623762376e-02,6.940549026082e-03,7.352463702252e-02,1.059349004614e+01
2.647614761476e-02,6.966838984514e-03,7.366708866464e-02,1.057396171038e+01
2.657605760576e-02,6.993128942946e-03,7.380931920186e-02,1.055454858677e+01
2.667596759676e-02,7.019418901378e-03,7.395133006931e-02,1.053524958523e+01
2.677587758776e-02,7.045708859810e-03,7.409312268789e-02,1.051606362995e+01
2.687578757876e-02,7.071998818242e-03,7.423469846446e-02,1.049698965913e+01
2.697569756976e-02,7.098288776674e-03,7.437605879202e-02,1.047802662473e+01
2.707560756076e-02,7.124578735106e-03,7.451720504991e-02,1.045917349228e+01
2.717551755176e-02,7.150868693539e-03,7.465813860400e-02,1.044042924064e+01
2.727542754275e-02,7.177158651971e-03,7.479886080682e-02,1.042179286176e+01
2.737533753375e-02,7.203448610403e-03,7.493937299781e-02,1.040326336049e+01
